table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,kl_weight,kl_temp,accuracy,status,start_time,seconds
kl_table3,oxford_flowers,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,96.14,OK,2026-06-24T02:14:46,872
kl_table3,oxford_flowers,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,98.54,OK,2026-06-24T02:29:18,1657
kl_table3,oxford_flowers,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,97.73,OK,2026-06-24T02:56:55,1670
kl_table3,oxford_flowers,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,97.97,OK,2026-06-24T03:24:45,1666
kl_table3,food101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,85.89,OK,2026-06-24T03:52:31,265
kl_table3,food101,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,85.37,OK,2026-06-24T03:56:56,245
kl_table3,food101,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,84.89,OK,2026-06-24T04:01:01,242
kl_table3,food101,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,84.97,OK,2026-06-24T04:05:03,354
kl_table3,food101,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,85.52,OK,2026-06-24T04:10:57,354
kl_table3,food101,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,85.02,OK,2026-06-24T04:16:51,363
kl_table3,food101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,85.17,OK,2026-06-24T04:22:54,559
kl_table3,food101,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,85.40,OK,2026-06-24T04:32:13,563
kl_table3,food101,ViT-B/16,4,3,2,q_k_v,both,all,0.25,0.1,8,85.33,OK,2026-06-24T04:41:36,563
kl_table3,food101,ViT-B/16,8,1,2,q_k_v,both,all,0.25,0.1,8,85.77,OK,2026-06-24T04:50:59,950
kl_table3,food101,ViT-B/16,8,2,2,q_k_v,both,all,0.25,0.1,8,85.39,OK,2026-06-24T05:06:49,950
kl_table3,food101,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,85.79,OK,2026-06-24T05:22:39,953
kl_table3,food101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,86.47,OK,2026-06-24T05:38:32,1743
kl_table3,food101,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,86.16,OK,2026-06-24T06:07:35,1733
kl_table3,food101,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,86.17,OK,2026-06-24T06:36:28,1734
kl_table3,fgvc,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,28.32,OK,2026-06-24T07:05:22,209
kl_table3,fgvc,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,30.18,OK,2026-06-24T07:08:51,208
kl_table3,fgvc,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,30.96,OK,2026-06-24T07:12:19,195
kl_table3,fgvc,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,32.31,OK,2026-06-24T07:15:34,312
kl_table3,fgvc,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,33.12,OK,2026-06-24T07:20:46,312
kl_table3,fgvc,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,30.24,OK,2026-06-24T07:25:58,308
kl_table3,fgvc,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,37.17,OK,2026-06-24T07:31:06,519
kl_table3,fgvc,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,35.40,OK,2026-06-24T07:39:45,526
kl_table3,fgvc,ViT-B/16,4,3,2,q_k_v,both,all,0.25,0.1,8,38.40,OK,2026-06-24T07:48:31,517
kl_table3,fgvc,ViT-B/16,8,1,2,q_k_v,both,all,0.25,0.1,8,43.80,OK,2026-06-24T07:57:08,922
kl_table3,fgvc,ViT-B/16,8,2,2,q_k_v,both,all,0.25,0.1,8,45.93,OK,2026-06-24T08:12:30,926
kl_table3,fgvc,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,44.19,OK,2026-06-24T08:27:56,917
kl_table3,fgvc,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,54.67,OK,2026-06-24T08:43:13,1697
kl_table3,fgvc,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,54.25,OK,2026-06-24T09:11:30,1704
kl_table3,fgvc,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,55.12,OK,2026-06-24T09:39:54,1710
kl_table3,dtd,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,54.85,OK,2026-06-24T10:08:24,195
kl_table3,dtd,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,53.37,OK,2026-06-24T10:11:39,189
kl_table3,dtd,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,55.73,OK,2026-06-24T10:14:48,193
kl_table3,dtd,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,60.93,OK,2026-06-24T10:18:01,311
kl_table3,dtd,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,59.46,OK,2026-06-24T10:23:12,315
kl_table3,dtd,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,58.27,OK,2026-06-24T10:28:27,323
kl_table3,dtd,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,64.42,OK,2026-06-24T10:33:50,647
kl_table3,dtd,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,64.95,OK,2026-06-24T10:44:37,628
kl_table3,dtd,ViT-B/16,4,3,2,q_k_v,both,all,0.25,0.1,8,64.42,OK,2026-06-24T10:55:05,638
kl_table3,dtd,ViT-B/16,8,1,2,q_k_v,both,all,0.25,0.1,8,69.68,OK,2026-06-24T11:05:43,957
kl_table3,dtd,ViT-B/16,8,2,2,q_k_v,both,all,0.25,0.1,8,66.19,OK,2026-06-24T11:21:40,935
kl_table3,dtd,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,69.27,OK,2026-06-24T11:37:15,871
kl_table3,dtd,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,73.88,OK,2026-06-24T11:51:46,1646
kl_table3,dtd,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,74.82,OK,2026-06-24T12:19:12,1646
kl_table3,dtd,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,73.35,OK,2026-06-24T12:46:38,1590
kl_table3,ucf101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,74.73,OK,2026-06-24T13:13:08,231
kl_table3,ucf101,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,75.20,OK,2026-06-24T13:16:59,242
kl_table3,ucf101,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,76.26,OK,2026-06-24T13:21:01,222
kl_table3,ucf101,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,79.41,OK,2026-06-24T13:24:43,331
kl_table3,ucf101,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,80.10,OK,2026-06-24T13:30:14,341
kl_table3,ucf101,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,80.78,OK,2026-06-24T13:35:55,345
kl_table3,ucf101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,79.73,OK,2026-06-24T13:41:40,545
kl_table3,ucf101,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,82.82,OK,2026-06-24T13:50:45,540
kl_table3,ucf101,ViT-B/16,4,3,2,q_k_v,both,all,0.25,0.1,8,81.92,OK,2026-06-24T13:59:45,544
kl_table3,ucf101,ViT-B/16,8,1,2,q_k_v,both,all,0.25,0.1,8,84.22,OK,2026-06-24T14:08:49,887
kl_table3,ucf101,ViT-B/16,8,2,2,q_k_v,both,all,0.25,0.1,8,84.30,OK,2026-06-24T14:23:36,899
kl_table3,ucf101,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,84.27,OK,2026-06-24T14:38:35,930
kl_table3,ucf101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,86.39,OK,2026-06-24T14:54:05,1739
kl_table3,ucf101,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,87.29,OK,2026-06-24T15:23:04,1701
kl_table3,ucf101,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,86.70,OK,2026-06-24T15:51:25,1663
kl_table3,stanford_cars,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,69.82,OK,2026-06-24T16:19:08,221
kl_table3,stanford_cars,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,70.43,OK,2026-06-24T16:22:49,226
kl_table3,stanford_cars,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,69.76,OK,2026-06-24T16:26:35,220
kl_table3,stanford_cars,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,73.70,OK,2026-06-24T16:30:15,357
kl_table3,stanford_cars,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,73.91,OK,2026-06-24T16:36:12,354
kl_table3,stanford_cars,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,72.70,OK,2026-06-24T16:42:06,352
kl_table3,stanford_cars,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,77.35,OK,2026-06-24T16:47:58,619
kl_table3,stanford_cars,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,77.47,OK,2026-06-24T16:58:17,625
kl_table3,stanford_cars,ViT-B/16,4,3,2,q_k_v,both,all,0.25,0.1,8,77.47,OK,2026-06-24T17:08:42,623
kl_table3,stanford_cars,ViT-B/16,8,1,2,q_k_v,both,all,0.25,0.1,8,82.55,OK,2026-06-24T17:19:05,1148
kl_table3,stanford_cars,ViT-B/16,8,2,2,q_k_v,both,all,0.25,0.1,8,81.45,OK,2026-06-24T17:38:13,1147
kl_table3,stanford_cars,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,82.34,OK,2026-06-24T17:57:20,1146
kl_table3,stanford_cars,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,85.55,OK,2026-06-24T18:16:26,2184
kl_table3,stanford_cars,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,85.84,OK,2026-06-24T18:52:50,2175
kl_table3,stanford_cars,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,86.33,OK,2026-06-24T19:29:05,2184
kl_table3,imagenet,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,70.11,OK,2026-06-24T20:05:29,664
kl_table3,imagenet,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,70.32,OK,2026-06-24T20:16:33,682
kl_table3,imagenet,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,70.34,OK,2026-06-24T20:27:55,676
kl_table3,imagenet,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,70.94,OK,2026-06-24T20:39:11,1069
kl_table3,imagenet,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,70.91,OK,2026-06-24T20:57:00,1068
kl_table3,imagenet,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,70.78,OK,2026-06-24T21:14:48,1068
kl_table3,imagenet,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,71.69,OK,2026-06-24T21:32:36,1860
kl_table3,imagenet,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,71.65,OK,2026-06-24T22:03:36,1851
kl_table3,imagenet,ViT-B/16,4,3,2,q_k_v,both,all,0.25,0.1,8,71.65,OK,2026-06-24T22:34:27,1859
kl_table3,imagenet,ViT-B/16,8,1,2,q_k_v,both,all,0.25,0.1,8,72.72,OK,2026-06-24T23:05:26,3422
kl_table3,imagenet,ViT-B/16,8,2,2,q_k_v,both,all,0.25,0.1,8,72.58,OK,2026-06-25T00:02:28,3404
kl_table3,imagenet,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,72.60,OK,2026-06-25T00:59:12,3412
kl_table3,imagenet,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,73.74,OK,2026-06-25T05:48:55,6499
kl_table3,imagenet,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,73.66,OK,2026-06-25T07:37:14,6490
kl_table3,imagenet,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,73.90,OK,2026-06-25T09:25:24,6486
