table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,accuracy,status,start_time,seconds
fig3,eurosat,ViT-B/16,4,1,8,q,vision,all,0.25,88.47.,OK,2026-06-15T02:08:34,443
fig3,eurosat,ViT-B/16,4,1,8,q,text,all,0.25,75.95.,OK,2026-06-15T02:15:57,449
fig3,eurosat,ViT-B/16,4,1,8,q,both,all,0.25,86.84.,OK,2026-06-15T02:23:26,540
fig3,imagenet,ViT-B/16,4,1,1,q_v,text,all,0.25,70.88.,OK,2026-06-15T02:13:22,1479
fig3,eurosat,ViT-B/16,4,1,8,v,vision,all,0.25,87.69.,OK,2026-06-15T02:32:26,465
fig3,eurosat,ViT-B/16,4,1,8,v,text,all,0.25,78.46.,OK,2026-06-15T02:40:11,484
fig3,eurosat,ViT-B/16,4,1,8,v,both,all,0.25,85.79.,OK,2026-06-15T02:48:15,567
fig3,imagenet,ViT-B/16,4,1,1,q_v,both,all,0.25,71.31.,OK,2026-06-15T02:38:01,1588
fig3,eurosat,ViT-B/16,4,1,8,o,vision,all,0.25,86.23.,OK,2026-06-15T02:57:42,536
fig3,imagenet,ViT-B/16,4,1,1,q_v_k,vision,all,0.25,69.90.,OK,2026-06-15T03:04:29,504
fig3,eurosat,ViT-B/16,4,1,8,o,text,all,0.25,78.86.,OK,2026-06-15T03:06:38,404
fig3,eurosat,ViT-B/16,4,1,8,o,both,all,0.25,83.94.,OK,2026-06-15T03:13:22,545
fig3,eurosat,ViT-B/16,4,1,8,q_v,vision,all,0.25,87.96.,OK,2026-06-15T03:22:27,483
fig3,imagenet,ViT-B/16,4,1,1,q_v_k,text,all,0.25,70.94.,OK,2026-06-15T03:12:53,1545
fig3,eurosat,ViT-B/16,4,1,8,q_v,text,all,0.25,78.07.,OK,2026-06-15T03:30:30,492
fig3,eurosat,ViT-B/16,4,1,8,q_v,both,all,0.25,88.98.,OK,2026-06-15T03:38:42,591
fig3,eurosat,ViT-B/16,4,1,8,q_v_k,vision,all,0.25,88.02.,OK,2026-06-15T03:48:33,455
fig3,eurosat,ViT-B/16,4,1,8,q_v_k,text,all,0.25,78.42.,OK,2026-06-15T03:56:08,567
fig3,imagenet,ViT-B/16,4,1,1,q_v_k,both,all,0.25,71.28.,OK,2026-06-15T03:38:38,1669
fig3,imagenet,ViT-B/16,4,1,1,q_v_k_o,vision,all,0.25,69.91.,OK,2026-06-15T04:06:27,514
fig3,eurosat,ViT-B/16,4,1,8,q_v_k,both,all,0.25,86.58.,OK,2026-06-15T04:05:35,629
fig3,eurosat,ViT-B/16,4,1,8,q_v_k_o,vision,all,0.25,87.96.,OK,2026-06-15T04:16:04,512
fig3,eurosat,ViT-B/16,4,1,8,q_v_k_o,text,all,0.25,78.54.,OK,2026-06-15T04:24:36,511
fig3,imagenet,ViT-B/16,4,1,1,q_v_k_o,text,all,0.25,71.16.,OK,2026-06-15T04:15:01,1612
fig3,eurosat,ViT-B/16,4,1,8,q_v_k_o,both,all,0.25,87.65.,OK,2026-06-15T04:33:07,613
fig3,eurosat,ViT-B/16,4,1,16,k,vision,all,0.25,87.70.,OK,2026-06-15T04:43:20,479
fig3,eurosat,ViT-B/16,4,1,16,k,text,all,0.25,76.17.,OK,2026-06-15T04:51:19,491
fig3,eurosat,ViT-B/16,4,1,16,k,both,all,0.25,86.30.,OK,2026-06-15T04:59:30,553
fig3,imagenet,ViT-B/16,4,1,1,q_v_k_o,both,all,0.25,71.65.,OK,2026-06-15T04:41:53,1749
fig3,eurosat,ViT-B/16,4,1,16,q,vision,all,0.25,89.01.,OK,2026-06-15T05:08:43,452
fig3,imagenet,ViT-B/16,4,1,2,k,vision,all,0.25,68.58.,OK,2026-06-15T05:11:02,474
fig3,eurosat,ViT-B/16,4,1,16,q,text,all,0.25,76.36.,OK,2026-06-15T05:16:15,432
fig3,eurosat,ViT-B/16,4,1,16,q,both,all,0.25,87.37.,OK,2026-06-15T05:23:27,558
fig3,eurosat,ViT-B/16,4,1,16,v,vision,all,0.25,87.58.,OK,2026-06-15T05:32:45,445
fig3,imagenet,ViT-B/16,4,1,2,k,text,all,0.25,70.54.,OK,2026-06-15T05:18:56,1410
fig3,eurosat,ViT-B/16,4,1,16,v,text,all,0.25,78.77.,OK,2026-06-15T05:40:10,467
fig3,eurosat,ViT-B/16,4,1,16,v,both,all,0.25,86.94.,OK,2026-06-15T05:47:57,612
fig3,eurosat,ViT-B/16,4,1,16,o,vision,all,0.25,87.63.,OK,2026-06-15T05:58:09,459
fig3,imagenet,ViT-B/16,4,1,2,k,both,all,0.25,70.71.,OK,2026-06-15T05:42:26,1511
fig3,eurosat,ViT-B/16,4,1,16,o,text,all,0.25,79.43.,OK,2026-06-15T06:05:48,468
fig3,imagenet,ViT-B/16,4,1,2,q,vision,all,0.25,69.05.,OK,2026-06-15T06:07:37,479
fig3,eurosat,ViT-B/16,4,1,16,o,both,all,0.25,85.43.,OK,2026-06-15T06:13:36,532
fig3,eurosat,ViT-B/16,4,1,16,q_v,vision,all,0.25,88.67.,OK,2026-06-15T06:22:28,480
fig3,eurosat,ViT-B/16,4,1,16,q_v,text,all,0.25,77.96.,OK,2026-06-15T06:30:28,466
fig3,imagenet,ViT-B/16,4,1,2,q,text,all,0.25,70.46.,OK,2026-06-15T06:15:36,1417
fig3,eurosat,ViT-B/16,4,1,16,q_v,both,all,0.25,88.70.,OK,2026-06-15T06:38:14,622
fig3,eurosat,ViT-B/16,4,1,16,q_v_k,vision,all,0.25,87.67.,OK,2026-06-15T06:48:36,505
fig3,imagenet,ViT-B/16,4,1,2,q,both,all,0.25,71.00.,OK,2026-06-15T06:39:13,1516
fig3,eurosat,ViT-B/16,4,1,16,q_v_k,text,all,0.25,78.80.,OK,2026-06-15T06:57:01,513
fig3,imagenet,ViT-B/16,4,1,2,v,vision,all,0.25,69.62.,OK,2026-06-15T07:04:29,479
fig3,eurosat,ViT-B/16,4,1,16,q_v_k,both,all,0.25,85.47.,OK,2026-06-15T07:05:34,579
fig3,eurosat,ViT-B/16,4,1,16,q_v_k_o,vision,all,0.25,88.21.,OK,2026-06-15T07:15:13,503
fig3,eurosat,ViT-B/16,4,1,16,q_v_k_o,text,all,0.25,77.67.,OK,2026-06-15T07:23:36,501
fig3,imagenet,ViT-B/16,4,1,2,v,text,all,0.25,70.93.,OK,2026-06-15T07:12:28,1421
fig3,eurosat,ViT-B/16,4,1,16,q_v_k_o,both,all,0.25,88.05.,OK,2026-06-15T07:31:57,634
fig3,eurosat,ViT-B/16,4,1,32,k,vision,all,0.25,88.47.,OK,2026-06-15T07:42:31,432
fig3,eurosat,ViT-B/16,4,1,32,k,text,all,0.25,77.77.,OK,2026-06-15T07:49:43,442
fig3,imagenet,ViT-B/16,4,1,2,v,both,all,0.25,71.39.,OK,2026-06-15T07:36:09,1515
fig3,eurosat,ViT-B/16,4,1,32,k,both,all,0.25,86.16.,OK,2026-06-15T07:57:05,538
fig3,imagenet,ViT-B/16,4,1,2,o,vision,all,0.25,69.74.,OK,2026-06-15T08:01:24,478
fig3,eurosat,ViT-B/16,4,1,32,q,vision,all,0.25,89.81.,OK,2026-06-15T08:06:03,518
fig3,eurosat,ViT-B/16,4,1,32,q,text,all,0.25,77.21.,OK,2026-06-15T08:14:41,461
fig3,eurosat,ViT-B/16,4,1,32,q,both,all,0.25,87.89.,OK,2026-06-15T08:22:22,549
fig3,imagenet,ViT-B/16,4,1,2,o,text,all,0.25,70.91.,OK,2026-06-15T08:09:22,1410
fig3,eurosat,ViT-B/16,4,1,32,v,vision,all,0.25,86.12.,OK,2026-06-15T08:31:31,455
fig3,eurosat,ViT-B/16,4,1,32,v,text,all,0.25,78.96.,OK,2026-06-15T08:39:06,463
fig3,eurosat,ViT-B/16,4,1,32,v,both,all,0.25,85.42.,OK,2026-06-15T08:46:49,573
fig3,imagenet,ViT-B/16,4,1,2,o,both,all,0.25,71.24.,OK,2026-06-15T08:32:52,1512
fig3,eurosat,ViT-B/16,4,1,32,o,vision,all,0.25,85.37.,OK,2026-06-15T08:56:22,446
fig3,imagenet,ViT-B/16,4,1,2,q_v,vision,all,0.25,69.86.,OK,2026-06-15T08:58:04,504
fig3,eurosat,ViT-B/16,4,1,32,o,text,all,0.25,79.73.,OK,2026-06-15T09:03:48,453
fig3,eurosat,ViT-B/16,4,1,32,o,both,all,0.25,85.77.,OK,2026-06-15T09:11:22,615
fig3,eurosat,ViT-B/16,4,1,32,q_v,vision,all,0.25,88.30.,OK,2026-06-15T09:21:37,504
fig3,imagenet,ViT-B/16,4,1,2,q_v,text,all,0.25,71.19.,OK,2026-06-15T09:06:28,1501
fig3,eurosat,ViT-B/16,4,1,32,q_v,text,all,0.25,77.98.,OK,2026-06-15T09:30:01,462
fig3,eurosat,ViT-B/16,4,1,32,q_v,both,all,0.25,86.83.,OK,2026-06-15T09:37:43,565
fig3,eurosat,ViT-B/16,4,1,32,q_v_k,vision,all,0.25,89.41.,OK,2026-06-15T09:47:08,464
fig3,imagenet,ViT-B/16,4,1,2,q_v,both,all,0.25,71.59.,OK,2026-06-15T09:31:29,1621
fig3,eurosat,ViT-B/16,4,1,32,q_v_k,text,all,0.25,79.46.,OK,2026-06-15T09:54:52,500
fig3,imagenet,ViT-B/16,4,1,2,q_v_k,vision,all,0.25,69.97.,OK,2026-06-15T09:58:30,517
fig3,eurosat,ViT-B/16,4,1,32,q_v_k,both,all,0.25,88.14.,OK,2026-06-15T10:03:12,584
fig3,eurosat,ViT-B/16,4,1,32,q_v_k_o,vision,all,0.25,87.12.,OK,2026-06-15T10:12:56,513
fig3,eurosat,ViT-B/16,4,1,32,q_v_k_o,text,all,0.25,78.74.,OK,2026-06-15T10:21:29,542
fig3,imagenet,ViT-B/16,4,1,2,q_v_k,text,all,0.25,71.04.,OK,2026-06-15T10:07:07,1555
fig3,eurosat,ViT-B/16,4,1,32,q_v_k_o,both,all,0.25,87.83.,OK,2026-06-15T10:30:31,632
