table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,accuracy,status,start_time,seconds
fig3,stanford_cars,ViT-B/16,4,1,8,q_v,both,all,0.25,77.29.,OK,2026-06-23T18:51:22,525
fig3,stanford_cars,ViT-B/16,4,1,8,q_v_k,vision,all,0.25,73.03.,OK,2026-06-23T19:00:07,299
fig3,stanford_cars,ViT-B/16,4,1,8,q_v_k,text,all,0.25,75.80.,OK,2026-06-23T19:05:06,427
fig3,stanford_cars,ViT-B/16,4,1,8,q_v_k,both,all,0.25,77.19.,OK,2026-06-23T19:12:13,557
fig3,stanford_cars,ViT-B/16,4,1,8,q_v_k_o,vision,all,0.25,73.36.,OK,2026-06-23T19:21:30,307
fig3,stanford_cars,ViT-B/16,4,1,8,q_v_k_o,text,all,0.25,75.60.,OK,2026-06-23T19:26:37,442
fig3,stanford_cars,ViT-B/16,4,1,8,q_v_k_o,both,all,0.25,77.08.,OK,2026-06-23T19:34:00,583
fig3,stanford_cars,ViT-B/16,4,1,16,k,vision,all,0.25,69.79.,OK,2026-06-23T19:43:43,267
fig3,stanford_cars,ViT-B/16,4,1,16,k,text,all,0.25,74.95.,OK,2026-06-23T19:48:10,394
fig3,stanford_cars,ViT-B/16,4,1,16,k,both,all,0.25,76.37.,OK,2026-06-23T19:54:44,497
fig3,stanford_cars,ViT-B/16,4,1,16,q,vision,all,0.25,69.57.,OK,2026-06-23T20:03:01,264
fig3,stanford_cars,ViT-B/16,4,1,16,q,text,all,0.25,74.48.,OK,2026-06-23T20:07:25,389
fig3,stanford_cars,ViT-B/16,4,1,16,q,both,all,0.25,76.09.,OK,2026-06-23T20:13:54,494
fig3,stanford_cars,ViT-B/16,4,1,16,v,vision,all,0.25,72.94.,OK,2026-06-23T20:22:08,263
fig3,stanford_cars,ViT-B/16,4,1,16,v,text,all,0.25,75.72.,OK,2026-06-23T20:26:31,390
fig3,stanford_cars,ViT-B/16,4,1,16,v,both,all,0.25,77.65.,OK,2026-06-23T20:33:01,491
fig3,stanford_cars,ViT-B/16,4,1,16,o,vision,all,0.25,72.96.,OK,2026-06-23T20:41:12,262
fig3,stanford_cars,ViT-B/16,4,1,16,o,text,all,0.25,75.75.,OK,2026-06-23T20:45:35,390
fig3,stanford_cars,ViT-B/16,4,1,16,o,both,all,0.25,77.54.,OK,2026-06-23T20:52:05,492
fig3,stanford_cars,ViT-B/16,4,1,16,q_v,vision,all,0.25,73.08.,OK,2026-06-23T21:00:17,284
fig3,stanford_cars,ViT-B/16,4,1,16,q_v,text,all,0.25,75.54.,OK,2026-06-23T21:05:01,407
fig3,stanford_cars,ViT-B/16,4,1,16,q_v,both,all,0.25,76.78.,OK,2026-06-23T21:11:48,528
fig3,stanford_cars,ViT-B/16,4,1,16,q_v_k,vision,all,0.25,73.92.,OK,2026-06-23T21:20:36,295
fig3,stanford_cars,ViT-B/16,4,1,16,q_v_k,text,all,0.25,75.21.,OK,2026-06-23T21:25:31,427
fig3,stanford_cars,ViT-B/16,4,1,16,q_v_k,both,all,0.25,77.45.,OK,2026-06-23T21:32:38,558
fig3,stanford_cars,ViT-B/16,4,1,16,q_v_k_o,vision,all,0.25,74.53.,OK,2026-06-23T21:41:56,306
fig3,stanford_cars,ViT-B/16,4,1,16,q_v_k_o,text,all,0.25,75.44.,OK,2026-06-23T21:47:02,443
fig3,stanford_cars,ViT-B/16,4,1,16,q_v_k_o,both,all,0.25,77.20.,OK,2026-06-23T21:54:25,585
fig3,stanford_cars,ViT-B/16,4,1,32,k,vision,all,0.25,69.54.,OK,2026-06-23T22:04:10,262
fig3,stanford_cars,ViT-B/16,4,1,32,k,text,all,0.25,75.30.,OK,2026-06-23T22:08:33,386
fig3,stanford_cars,ViT-B/16,4,1,32,k,both,all,0.25,76.16.,OK,2026-06-23T22:14:59,493
fig3,stanford_cars,ViT-B/16,4,1,32,q,vision,all,0.25,69.34.,OK,2026-06-23T22:23:12,266
fig3,stanford_cars,ViT-B/16,4,1,32,q,text,all,0.25,74.75.,OK,2026-06-23T22:27:38,395
fig3,stanford_cars,ViT-B/16,4,1,32,q,both,all,0.25,76.13.,OK,2026-06-23T22:34:13,492
fig3,stanford_cars,ViT-B/16,4,1,32,v,vision,all,0.25,73.75.,OK,2026-06-23T22:42:25,267
fig3,stanford_cars,ViT-B/16,4,1,32,v,text,all,0.25,75.90.,OK,2026-06-23T22:46:52,389
fig3,stanford_cars,ViT-B/16,4,1,32,v,both,all,0.25,77.32.,OK,2026-06-23T22:53:21,494
fig3,stanford_cars,ViT-B/16,4,1,32,o,vision,all,0.25,73.62.,OK,2026-06-23T23:01:35,264
fig3,stanford_cars,ViT-B/16,4,1,32,o,text,all,0.25,76.04.,OK,2026-06-23T23:05:59,387
fig3,stanford_cars,ViT-B/16,4,1,32,o,both,all,0.25,77.86.,OK,2026-06-23T23:12:26,491
fig3,stanford_cars,ViT-B/16,4,1,32,q_v,vision,all,0.25,73.80.,OK,2026-06-23T23:20:37,276
fig3,stanford_cars,ViT-B/16,4,1,32,q_v,text,all,0.25,75.51.,OK,2026-06-23T23:25:13,407
fig3,stanford_cars,ViT-B/16,4,1,32,q_v,both,all,0.25,76.86.,OK,2026-06-23T23:32:00,530
fig3,stanford_cars,ViT-B/16,4,1,32,q_v_k,vision,all,0.25,74.31.,OK,2026-06-23T23:40:50,294
fig3,stanford_cars,ViT-B/16,4,1,32,q_v_k,text,all,0.25,75.16.,OK,2026-06-23T23:45:44,425
fig3,stanford_cars,ViT-B/16,4,1,32,q_v_k,both,all,0.25,76.76.,OK,2026-06-23T23:52:49,557
fig3,stanford_cars,ViT-B/16,4,1,32,q_v_k_o,vision,all,0.25,75.00.,OK,2026-06-24T00:02:06,309
fig3,stanford_cars,ViT-B/16,4,1,32,q_v_k_o,text,all,0.25,75.28.,OK,2026-06-24T00:07:15,442
fig3,stanford_cars,ViT-B/16,4,1,32,q_v_k_o,both,all,0.25,76.86.,OK,2026-06-24T00:14:37,585
fig3,stanford_cars,ViT-B/16,4,1,2,q_k_v,both,bottom,0.25,75.41.,OK,2026-06-24T00:24:22,512
fig3,stanford_cars,ViT-B/16,4,1,2,q_k_v,both,up,0.25,75.13.,OK,2026-06-24T00:32:54,363
fig3,stanford_cars,ViT-B/16,4,1,2,q_k_v,both,all,0.25,76.37.,OK,2026-06-24T00:38:57,553
