table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,accuracy,status,start_time,seconds
table3,ucf101,ViT-B/16,4,3,2,q_k_v,both,all,0.25,81.63.,OK,2026-06-15T08:06:26,422
table3,ucf101,ViT-B/16,8,1,2,q_k_v,both,all,0.25,84.01.,OK,2026-06-15T08:13:28,754
table3,ucf101,ViT-B/16,8,2,2,q_k_v,both,all,0.25,84.38.,OK,2026-06-15T08:26:02,742
table3,ucf101,ViT-B/16,8,3,2,q_k_v,both,all,0.25,83.69.,OK,2026-06-15T08:38:24,756
table3,ucf101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,85.99.,OK,2026-06-15T08:51:00,1406
table3,ucf101,ViT-B/16,16,2,2,q_k_v,both,all,0.25,86.36.,OK,2026-06-15T09:14:26,1412
table3,ucf101,ViT-B/16,16,3,2,q_k_v,both,all,0.25,86.86.,OK,2026-06-15T09:37:58,1409
table3,stanford_cars,ViT-B/16,1,1,2,q_k_v,both,all,0.25,69.42.,OK,2026-06-15T10:01:27,213
table3,stanford_cars,ViT-B/16,1,2,2,q_k_v,both,all,0.25,70.46.,OK,2026-06-15T10:05:00,214
table3,stanford_cars,ViT-B/16,1,3,2,q_k_v,both,all,0.25,69.58.,OK,2026-06-15T10:08:34,210
table3,stanford_cars,ViT-B/16,2,1,2,q_k_v,both,all,0.25,73.20.,OK,2026-06-15T10:12:04,337
table3,stanford_cars,ViT-B/16,2,2,2,q_k_v,both,all,0.25,73.93.,OK,2026-06-15T10:17:41,329
table3,stanford_cars,ViT-B/16,2,3,2,q_k_v,both,all,0.25,72.99.,OK,2026-06-15T10:23:10,330
table3,stanford_cars,ViT-B/16,4,1,2,q_k_v,both,all,0.25,76.72.,OK,2026-06-15T10:28:40,570
table3,stanford_cars,ViT-B/16,4,2,2,q_k_v,both,all,0.25,76.89.,OK,2026-06-15T10:38:10,559
table3,stanford_cars,ViT-B/16,4,3,2,q_k_v,both,all,0.25,77.60.,OK,2026-06-15T10:47:29,561
table3,stanford_cars,ViT-B/16,8,1,2,q_k_v,both,all,0.25,82.48.,OK,2026-06-15T10:56:50,1022
table3,stanford_cars,ViT-B/16,8,2,2,q_k_v,both,all,0.25,81.35.,OK,2026-06-15T11:13:52,1038
table3,stanford_cars,ViT-B/16,8,3,2,q_k_v,both,all,0.25,82.44.,OK,2026-06-15T11:31:10,1023
table3,stanford_cars,ViT-B/16,16,1,2,q_k_v,both,all,0.25,85.96.,OK,2026-06-15T11:48:13,1940
table3,stanford_cars,ViT-B/16,16,2,2,q_k_v,both,all,0.25,86.37.,OK,2026-06-15T12:20:33,1944
table3,stanford_cars,ViT-B/16,16,3,2,q_k_v,both,all,0.25,86.47.,OK,2026-06-15T12:52:57,1948
table3,imagenet,ViT-B/16,1,1,2,q_k_v,both,all,0.25,70.39.,OK,2026-06-15T13:25:25,741
table3,imagenet,ViT-B/16,1,2,2,q_k_v,both,all,0.25,70.41.,OK,2026-06-15T13:37:46,747
table3,imagenet,ViT-B/16,1,3,2,q_k_v,both,all,0.25,70.40.,OK,2026-06-15T13:50:13,715
table3,imagenet,ViT-B/16,2,1,2,q_k_v,both,all,0.25,70.85.,OK,2026-06-15T14:02:08,1142
table3,imagenet,ViT-B/16,2,2,2,q_k_v,both,all,0.25,70.82.,OK,2026-06-15T14:21:10,1113
table3,imagenet,ViT-B/16,2,3,2,q_k_v,both,all,0.25,70.86.,OK,2026-06-15T14:39:43,1134
table3,imagenet,ViT-B/16,4,1,2,q_k_v,both,all,0.25,71.62.,OK,2026-06-15T14:58:37,1849
table3,imagenet,ViT-B/16,4,2,2,q_k_v,both,all,0.25,71.52.,OK,2026-06-15T15:29:26,1862
table3,imagenet,ViT-B/16,4,3,2,q_k_v,both,all,0.25,71.41.,OK,2026-06-15T16:00:28,1846
table3,imagenet,ViT-B/16,8,1,2,q_k_v,both,all,0.25,72.50.,OK,2026-06-15T16:31:14,3324
table3,imagenet,ViT-B/16,8,2,2,q_k_v,both,all,0.25,72.26.,OK,2026-06-15T17:26:38,3310
table3,imagenet,ViT-B/16,8,3,2,q_k_v,both,all,0.25,72.34.,OK,2026-06-15T18:21:48,3282
table3,imagenet,ViT-B/16,16,1,2,q_k_v,both,all,0.25,73.44.,OK,2026-06-15T19:16:30,6241
table3,imagenet,ViT-B/16,16,2,2,q_k_v,both,all,0.25,73.58.,OK,2026-06-15T21:00:31,6239
table3,imagenet,ViT-B/16,16,3,2,q_k_v,both,all,0.25,73.66.,OK,2026-06-15T22:44:30,6256
