table,dataset,backbone,shots,rank,params,encoder,position,n_seeds,mean_acc,std_acc,mean_sec,total_sec,seeds
table4,fgvc,ViT-B/32,16,2,q_k_v,both,all,3,46.07,1.14,1111,3333,"1,2,3"
table4,food101,ViT-B/32,1,2,q_k_v,both,all,3,78.55,0.3,210,631,"1,2,3"
table4,food101,ViT-B/32,2,2,q_k_v,both,all,3,76.55,0.39,286,859,"1,2,3"
table4,food101,ViT-B/32,4,2,q_k_v,both,all,3,76.05,0.25,409,1226,"1,2,3"
table4,food101,ViT-B/32,8,2,q_k_v,both,all,3,76.82,0.29,646,1937,"1,2,3"
table4,food101,ViT-B/32,16,2,q_k_v,both,all,3,78.11,0.12,1120,3361,"1,2,3"
table4,imagenet,ViT-B/32,1,2,q_k_v,both,all,3,65.26,0.16,403,1208,"1,2,3"
table4,imagenet,ViT-B/32,2,2,q_k_v,both,all,3,65.7,0.09,927,2781,"1,2,3"
table4,imagenet,ViT-B/32,4,2,q_k_v,both,all,3,66.55,0.14,1583,4750,"1,2,3"
table4,imagenet,ViT-B/32,8,2,q_k_v,both,all,3,67.17,0.06,2902,8705,"1,2,3"
table4,imagenet,ViT-B/32,16,2,q_k_v,both,all,3,68.36,0.1,5508,16523,"1,2,3"
table4,oxford_flowers,ViT-B/32,1,2,q_k_v,both,all,3,77.45,2.22,139,416,"1,2,3"
table4,oxford_flowers,ViT-B/32,2,2,q_k_v,both,all,3,84.22,0.25,208,625,"1,2,3"
table4,oxford_flowers,ViT-B/32,4,2,q_k_v,both,all,3,90.15,0.68,334,1003,"1,2,3"
table4,oxford_flowers,ViT-B/32,8,2,q_k_v,both,all,3,92.67,0.33,570,1710,"1,2,3"
table4,oxford_flowers,ViT-B/32,16,2,q_k_v,both,all,3,96.05,0.55,1051,3153,"1,2,3"
table4,oxford_pets,ViT-B/32,1,2,q_k_v,both,all,3,88.02,0.68,177,530,"1,2,3"
table4,oxford_pets,ViT-B/32,2,2,q_k_v,both,all,3,86.81,0.96,250,749,"1,2,3"
table4,oxford_pets,ViT-B/32,4,2,q_k_v,both,all,3,86.34,0.7,372,1116,"1,2,3"
table4,oxford_pets,ViT-B/32,8,2,q_k_v,both,all,3,88.22,0.65,545,1634,"1,2,3"
table4,oxford_pets,ViT-B/32,16,2,q_k_v,both,all,3,89.04,1.13,906,2718,"1,2,3"
table4,stanford_cars,ViT-B/32,1,2,q_k_v,both,all,3,63.59,0.87,166,498,"1,2,3"
table4,stanford_cars,ViT-B/32,2,2,q_k_v,both,all,3,64.62,0.51,263,788,"1,2,3"
table4,stanford_cars,ViT-B/32,4,2,q_k_v,both,all,3,68.45,0.55,441,1323,"1,2,3"
table4,stanford_cars,ViT-B/32,8,2,q_k_v,both,all,3,74.6,0.08,792,2375,"1,2,3"
table4,stanford_cars,ViT-B/32,16,2,q_k_v,both,all,3,79.9,0.11,1484,4452,"1,2,3"
table4,ucf101,ViT-B/32,1,2,q_k_v,both,all,3,72.22,0.32,85,254,"1,2,3"
table4,ucf101,ViT-B/32,2,2,q_k_v,both,all,3,75.36,1.2,192,575,"1,2,3"
table4,ucf101,ViT-B/32,4,2,q_k_v,both,all,3,76.05,1.75,321,963,"1,2,3"
table4,ucf101,ViT-B/32,8,2,q_k_v,both,all,3,80.18,0.2,550,1651,"1,2,3"
table4,ucf101,ViT-B/32,16,2,q_k_v,both,all,3,82.15,0.47,1023,3070,"1,2,3"
table5,caltech101,ViT-L/14,1,2,q_k_v,both,all,3,95.73,0.69,306,917,"1,2,3"
table5,caltech101,ViT-L/14,2,2,q_k_v,both,all,3,96.89,0.74,548,1644,"1,2,3"
table5,caltech101,ViT-L/14,4,2,q_k_v,both,all,3,97.12,0.18,1017,3052,"1,2,3"
table5,caltech101,ViT-L/14,8,2,q_k_v,both,all,3,97.05,0.54,1965,5895,"1,2,3"
table5,caltech101,ViT-L/14,16,2,q_k_v,both,all,3,97.24,0.21,3795,11384,"1,2,3"
table5,dtd,ViT-L/14,1,2,q_k_v,both,all,3,60.99,0.33,326,977,"1,2,3"
table5,dtd,ViT-L/14,2,2,q_k_v,both,all,3,67.37,1.48,609,1828,"1,2,3"
table5,dtd,ViT-L/14,4,2,q_k_v,both,all,3,70.21,0.77,1032,3095,"1,2,3"
table5,dtd,ViT-L/14,8,2,q_k_v,both,all,3,72.68,0.21,1872,5617,"1,2,3"
table5,dtd,ViT-L/14,16,2,q_k_v,both,all,3,76.83,0.62,3429,10288,"1,2,3"
table5,eurosat,ViT-L/14,1,2,q_k_v,both,all,3,71.97,6.25,372,1115,"1,2,3"
table5,eurosat,ViT-L/14,2,2,q_k_v,both,all,3,85.68,0.27,713,2140,"1,2,3"
table5,eurosat,ViT-L/14,4,2,q_k_v,both,all,3,85.44,3.3,1113,3339,"1,2,3"
table5,eurosat,ViT-L/14,8,2,q_k_v,both,all,3,89.54,2.26,2072,6215,"1,2,3"
table5,eurosat,ViT-L/14,16,2,q_k_v,both,all,3,93.04,1.58,3950,11849,"1,2,3"
table5,fgvc,ViT-L/14,1,2,q_k_v,both,all,3,41.53,0.81,346,1039,"1,2,3"
table5,fgvc,ViT-L/14,2,2,q_k_v,both,all,3,43.22,2.39,587,1761,"1,2,3"
table5,fgvc,ViT-L/14,4,2,q_k_v,both,all,3,50.04,0.88,1063,3190,"1,2,3"
table5,fgvc,ViT-L/14,8,2,q_k_v,both,all,3,57.88,0.74,2058,6175,"1,2,3"
table5,fgvc,ViT-L/14,16,2,q_k_v,both,all,3,66.31,0.5,3865,11596,"1,2,3"
table5,food101,ViT-L/14,1,2,q_k_v,both,all,3,90.29,0.51,503,1510,"1,2,3"
