table,dataset,backbone,shots,rank,params,encoder,position,n_seeds,mean_acc,std_acc,mean_sec,total_sec,seeds
fig3,imagenet,ViT-B/16,4,2,o,both,all,1,71.24,0.0,1512,1512,1
fig3,imagenet,ViT-B/16,4,2,o,text,all,1,70.91,0.0,1410,1410,1
fig3,imagenet,ViT-B/16,4,2,o,vision,all,1,69.74,0.0,478,478,1
fig3,imagenet,ViT-B/16,4,2,q,both,all,1,71.0,0.0,1516,1516,1
fig3,imagenet,ViT-B/16,4,2,q,text,all,1,70.46,0.0,1417,1417,1
fig3,imagenet,ViT-B/16,4,2,q,vision,all,1,69.05,0.0,479,479,1
fig3,imagenet,ViT-B/16,4,2,q_k_v,both,all,1,71.62,0.0,1801,1801,1
fig3,imagenet,ViT-B/16,4,2,q_k_v,both,bottom,1,70.82,0.0,1698,1698,1
fig3,imagenet,ViT-B/16,4,2,q_k_v,both,up,1,71.09,0.0,1173,1173,1
fig3,imagenet,ViT-B/16,4,2,q_v,both,all,1,71.59,0.0,1621,1621,1
fig3,imagenet,ViT-B/16,4,2,q_v,text,all,1,71.19,0.0,1501,1501,1
fig3,imagenet,ViT-B/16,4,2,q_v,vision,all,1,69.86,0.0,504,504,1
fig3,imagenet,ViT-B/16,4,2,q_v_k,both,all,1,71.46,0.0,1683,1683,1
fig3,imagenet,ViT-B/16,4,2,q_v_k,text,all,1,71.04,0.0,1555,1555,1
fig3,imagenet,ViT-B/16,4,2,q_v_k,vision,all,1,69.97,0.0,517,517,1
fig3,imagenet,ViT-B/16,4,2,q_v_k_o,both,all,1,71.47,0.0,1767,1767,1
fig3,imagenet,ViT-B/16,4,2,q_v_k_o,text,all,1,71.01,0.0,1625,1625,1
fig3,imagenet,ViT-B/16,4,2,q_v_k_o,vision,all,1,70.08,0.0,518,518,1
fig3,imagenet,ViT-B/16,4,2,v,both,all,1,71.39,0.0,1515,1515,1
fig3,imagenet,ViT-B/16,4,2,v,text,all,1,70.93,0.0,1421,1421,1
fig3,imagenet,ViT-B/16,4,2,v,vision,all,1,69.62,0.0,479,479,1
fig3,imagenet,ViT-B/16,4,4,k,both,all,1,70.93,0.0,1582,1582,1
fig3,imagenet,ViT-B/16,4,4,k,text,all,1,70.57,0.0,1534,1534,1
fig3,imagenet,ViT-B/16,4,4,k,vision,all,1,68.78,0.0,539,539,1
fig3,imagenet,ViT-B/16,4,4,o,both,all,1,71.41,0.0,1621,1621,1
fig3,imagenet,ViT-B/16,4,4,o,text,all,1,71.0,0.0,1472,1472,1
fig3,imagenet,ViT-B/16,4,4,o,vision,all,1,69.84,0.0,475,475,1
fig3,imagenet,ViT-B/16,4,4,q,both,all,1,71.18,0.0,1643,1643,1
fig3,imagenet,ViT-B/16,4,4,q,text,all,1,70.62,0.0,1534,1534,1
fig3,imagenet,ViT-B/16,4,4,q,vision,all,1,69.22,0.0,494,494,1
fig3,imagenet,ViT-B/16,4,4,q_v,both,all,1,71.56,0.0,1647,1647,1
fig3,imagenet,ViT-B/16,4,4,q_v,text,all,1,70.99,0.0,1524,1524,1
fig3,imagenet,ViT-B/16,4,4,q_v,vision,all,1,70.05,0.0,478,478,1
fig3,imagenet,ViT-B/16,4,4,q_v_k,both,all,1,71.51,0.0,1730,1730,1
fig3,imagenet,ViT-B/16,4,4,q_v_k,text,all,1,71.12,0.0,1597,1597,1
fig3,imagenet,ViT-B/16,4,4,q_v_k,vision,all,1,70.24,0.0,485,485,1
fig3,imagenet,ViT-B/16,4,4,q_v_k_o,both,all,1,71.32,0.0,1816,1816,1
fig3,imagenet,ViT-B/16,4,4,q_v_k_o,text,all,1,70.93,0.0,1671,1671,1
fig3,imagenet,ViT-B/16,4,4,q_v_k_o,vision,all,1,70.28,0.0,496,496,1
fig3,imagenet,ViT-B/16,4,4,v,both,all,1,71.37,0.0,1594,1594,1
fig3,imagenet,ViT-B/16,4,4,v,text,all,1,70.99,0.0,1554,1554,1
fig3,imagenet,ViT-B/16,4,4,v,vision,all,1,69.64,0.0,511,511,1
fig3,imagenet,ViT-B/16,4,8,k,both,all,1,71.04,0.0,1545,1545,1
fig3,imagenet,ViT-B/16,4,8,k,text,all,1,70.89,0.0,1451,1451,1
fig3,imagenet,ViT-B/16,4,8,k,vision,all,1,68.76,0.0,474,474,1
fig3,imagenet,ViT-B/16,4,8,o,both,all,1,71.7,0.0,1544,1544,1
